Crop Type,Crop Yield,Crop Yield Unit,Climate Drivers,Climate Drivers Value,Climate Drivers Unit,Experimental Design,Location,Time,Source in paper
maize,-7,%,temperature,1,°C,crop model simulation,UIGP,monsoon season,"The mean baseline yield of rainfed maize crop is about 2 Mg ha⁻¹ in UIGP, where the projected yield loss is up to 7, 11, 15, 22, and 33% relative to baseline yields with 1, 2, 3, 4, 5°C degrees rise in atmospheric temperatures."
maize,-11,%,temperature,2,°C,crop model simulation,UIGP,monsoon season,"The mean baseline yield of rainfed maize crop is about 2 Mg ha⁻¹ in UIGP, where the projected yield loss is up to 7, 11, 15, 22, and 33% relative to baseline yields with 1, 2, 3, 4, 5°C degrees rise in atmospheric temperatures."
maize,-15,%,temperature,3,°C,crop model simulation,UIGP,monsoon season,"The mean baseline yield of rainfed maize crop is about 2 Mg ha⁻¹ in UIGP, where the projected yield loss is up to 7, 11, 15, 22, and 33% relative to baseline yields with 1, 2, 3, 4, 5°C degrees rise in atmospheric temperatures."
maize,-22,%,temperature,4,°C,crop model simulation,UIGP,monsoon season,"The mean baseline yield of rainfed maize crop is about 2 Mg ha⁻¹ in UIGP, where the projected yield loss is up to 7, 11, 15, 22, and 33% relative to baseline yields with 1, 2, 3, 4, 5°C degrees rise in atmospheric temperatures."
maize,-33,%,temperature,5,°C,crop model simulation,UIGP,monsoon season,"The mean baseline yield of rainfed maize crop is about 2 Mg ha⁻¹ in UIGP, where the projected yield loss is up to 7, 11, 15, 22, and 33% relative to baseline yields with 1, 2, 3, 4, 5°C degrees rise in atmospheric temperatures."
maize,-8,%,temperature,1,°C,crop model simulation,MIGP,monsoon season,"In MIGP region, yield reduction of about 8–35% with 1–5°C rise in atmospheric temperature is projected."
maize,-35,%,temperature,5,°C,crop model simulation,MIGP,monsoon season,"In MIGP region, yield reduction of about 8–35% with 1–5°C rise in atmospheric temperature is projected."
maize,-10,%,temperature,1,°C,crop model simulation,SP,monsoon season,"The SP region is also projected to experience adverse impact with -10, -15, -23, -27 and -35% reductions from the baseline yield levels at each 1°C rise in temperature."
maize,-15,%,temperature,2,°C,crop model simulation,SP,monsoon season,"The SP region is also projected to experience adverse impact with -10, -15, -23, -27 and -35% reductions from the baseline yield levels at each 1°C rise in temperature."
maize,-23,%,temperature,3,°C,crop model simulation,SP,monsoon season,"The SP region is also projected to experience adverse impact with -10, -15, -23, -27 and -35% reductions from the baseline yield levels at each 1°C rise in temperature."
maize,-27,%,temperature,4,°C,crop model simulation,SP,monsoon season,"The SP region is also projected to experience adverse impact with -10, -15, -23, -27 and -35% reductions from the baseline yield levels at each 1°C rise in temperature."
maize,-35,%,temperature,5,°C,crop model simulation,SP,monsoon season,"The SP region is also projected to experience adverse impact with -10, -15, -23, -27 and -35% reductions from the baseline yield levels at each 1°C rise in temperature."
maize,13,%,temperature,2,°C,crop model simulation,UIGP,winter season,"In UIGP, this beneficial effect with rise in temperature is projected to be more up to 2°C rise (13% increase over current yields)."
