ID,true_label,predicted_label,batch
s_4,contra,unver,batch2
s_5,contra,unver,batch2
s_7,contra,unver,batch2
s_8,unver,unver,batch2
s_9,contra,unver,batch2
s_10,unver,unver,batch2
s_13,unver,unver,batch2
s_14,contra,unver,batch2
s_19,contra,unver,batch2
s_21,entail,unver,batch2
s_22,entail,unver,batch2
s_23,entail,unver,batch2
s_24,entail,unver,batch2
s_27,contra,unver,batch2
s_30,contra,unver,batch2
s_31,contra,unver,batch2
s_34,entail,unver,batch2
s_35,contra,unver,batch2
s_38,contra,unver,batch2
s_39,contra,unver,batch2
s_41,contra,unver,batch2
s_42,contra,unver,batch2
s_43,contra,unver,batch2
s_45,entail,unver,batch2
s_47,entail,unver,batch2
s_48,entail,unver,batch2
s_49,entail,unver,batch2
s_51,entail,unver,batch2
s_52,entail,unver,batch2
s_53,entail,unver,batch2
s_54,unver,unver,batch2
s_55,unver,unver,batch2
s_57,entail,unver,batch2
s_58,entail,unver,batch2
s_59,unver,unver,batch2
s_60,entail,unver,batch2
s_61,unver,unver,batch2
s_63,entail,unver,batch2
s_64,unver,unver,batch2
s_65,unver,unver,batch2
s_66,entail,unver,batch2
s_67,entail,unver,batch2
s_69,contra,unver,batch2
s_71,entail,unver,batch2
s_72,contra,unver,batch2
s_74,unver,unver,batch2
s_75,entail,unver,batch2
s_77,entail,unver,batch2
s_82,unver,unver,batch2
s_84,unver,unver,batch2
s_85,entail,unver,batch2
s_86,contra,unver,batch2
s_92,contra,unver,batch2
s_93,entail,unver,batch2
s_94,unver,unver,batch2
s_95,entail,unver,batch2
s_96,contra,unver,batch2
s_97,contra,unver,batch2
s_100,contra,unver,batch2
s_102,unver,unver,batch2
s_105,entail,unver,batch2
s_106,unver,unver,batch2
s_107,unver,unver,batch2
s_108,unver,unver,batch2
s_111,contra,unver,batch2
s_113,unver,unver,batch2
s_117,contra,unver,batch2
s_120,entail,unver,batch2
s_124,contra,unver,batch2
s_125,entail,unver,batch2
s_132,entail,unver,batch2
s_137,contra,unver,batch2
s_138,contra,unver,batch2
s_144,unver,unver,batch2
s_147,unver,unver,batch2
s_149,unver,unver,batch2
s_151,unver,unver,batch2
s_152,unver,unver,batch2
s_153,unver,unver,batch2
s_154,contra,unver,batch2
s_157,unver,unver,batch2
s_159,unver,unver,batch2
s_162,contra,unver,batch2
s_164,entail,unver,batch2
s_166,contra,unver,batch2
s_168,entail,unver,batch2
s_169,entail,unver,batch2
s_171,entail,unver,batch2
s_174,entail,unver,batch2
s_175,contra,unver,batch2
s_176,entail,unver,batch2
s_177,contra,unver,batch2
s_178,entail,unver,batch2
s_181,contra,unver,batch2
s_182,entail,unver,batch2
s_185,entail,unver,batch2
s_187,entail,unver,batch2
s_191,entail,unver,batch2
s_192,contra,unver,batch2
s_195,contra,unver,batch2
s_197,entail,unver,batch2
s_199,contra,unver,batch2
s_200,contra,unver,batch2
s_201,contra,unver,batch2
s_202,entail,unver,batch2
s_203,entail,unver,batch2
s_208,contra,unver,batch2
s_209,unver,unver,batch2
s_212,entail,unver,batch2
s_213,contra,unver,batch2
s_214,contra,unver,batch2
s_215,entail,unver,batch2
s_216,contra,unver,batch2
s_217,contra,unver,batch2
s_220,entail,unver,batch2
s_221,contra,unver,batch2
s_225,contra,unver,batch2
s_227,unver,unver,batch2
s_228,unver,unver,batch2
s_229,entail,unver,batch2
s_230,unver,unver,batch2
s_231,entail,unver,batch2
s_235,unver,unver,batch2
s_236,entail,unver,batch2
s_239,contra,unver,batch2
s_241,unver,unver,batch2
s_242,entail,unver,batch2
s_245,unver,unver,batch2
s_246,entail,unver,batch2
s_251,contra,unver,batch2
s_252,contra,unver,batch2
s_254,entail,unver,batch2
